LakeID,Param,Value
SGL24,Latitude,46.8715
SGL24,Longitude,-55.76997
SGL24,Depth,0.4
SGL24,Area,0.8
SGL24,DistanceToTheSea,120.3
SGL24,N,1.2
SGL24,P,0.032
SGL24,SiO2,2
SGL24,DOC,25
SGL24,ODO,90.7
SGL24,pH,6.54
SGL24,Cond,72.5
SGL24,Sal,0.04
SGL24,Temp,20.94
SGL24,LOI,57.789613848202244
SGL24,SandGrains,0
TL09,Latitude,46.86777
TL09,Longitude,-55.75629
TL09,Depth,1.6
TL09,Area,1.7
TL09,DistanceToTheSea,68.42
TL09,N,1
TL09,P,0.021
TL09,SiO2,1.8
TL09,DOC,18
TL09,ODO,95.5
TL09,pH,6.9
TL09,Cond,98
TL09,Sal,0.05
TL09,Temp,20.16
TL09,LOI,54.203216374268976
TL09,SandGrains,3
TL08,Latitude,46.87464
TL08,Longitude,-55.75319
TL08,Depth,2.4
TL08,Area,12.9
TL08,DistanceToTheSea,103.48
TL08,N,1
TL08,P,0.028
TL08,SiO2,2
TL08,DOC,24
TL08,ODO,94.7
TL08,pH,7.03
TL08,Cond,84.1
TL08,Sal,0.04
TL08,Temp,22.27
TL08,LOI,42.56354786371066
TL08,SandGrains,44
SGL23,Latitude,46.875
SGL23,Longitude,-55.75262
SGL23,Depth,0.6
SGL23,Area,1.1
SGL23,DistanceToTheSea,886.46
SGL23,N,1.1
SGL23,P,0.03
SGL23,SiO2,3
SGL23,DOC,34
SGL23,ODO,93.5
SGL23,pH,7.06
SGL23,Cond,88
SGL23,Sal,0.05
SGL23,Temp,22.7
SGL23,LOI,45.77507598784208
SGL23,SandGrains,2
SGL13,Latitude,46.9319
SGL13,Longitude,-55.57567
SGL13,Depth,1
SGL13,Area,1.7
SGL13,DistanceToTheSea,1171.92
SGL13,N,0.8
SGL13,P,0.012
SGL13,SiO2,1.2
SGL13,DOC,18
SGL13,ODO,92.4
SGL13,pH,7.02
SGL13,Cond,49.7
SGL13,Sal,0.02
SGL13,Temp,19.61
SGL13,LOI,31.930808789153474
SGL13,SandGrains,0
SGL14,Latitude,46.92781
SGL14,Longitude,-55.59823
SGL14,Depth,0.5
SGL14,Area,0.1
SGL14,DistanceToTheSea,1644.15
SGL14,N,0.7
SGL14,P,0.012
SGL14,SiO2,0.4
SGL14,DOC,11
SGL14,ODO,92.4
SGL14,pH,4.83
SGL14,Cond,39
SGL14,Sal,0.02
SGL14,Temp,19.72
SGL14,LOI,86.44304682040682
SGL14,SandGrains,0
SGL15,Latitude,46.91887
SGL15,Longitude,-55.61216
SGL15,Depth,2.8
SGL15,Area,6.9
SGL15,DistanceToTheSea,1446.32
SGL15,N,0.6
SGL15,P,0.009
SGL15,SiO2,0.9
SGL15,DOC,11
SGL15,ODO,95.7
SGL15,pH,7.01
SGL15,Cond,49.6
SGL15,Sal,0.02
SGL15,Temp,19.5
SGL15,LOI,31.732659365346876
SGL15,SandGrains,0
SGL16,Latitude,46.91331
SGL16,Longitude,-55.62914
SGL16,Depth,1.1
SGL16,Area,0.4
SGL16,DistanceToTheSea,1897.25
SGL16,N,0.8
SGL16,P,0.01
SGL16,SiO2,2
SGL16,DOC,15
SGL16,ODO,86.9
SGL16,pH,7.26
SGL16,Cond,103
SGL16,Sal,0.05
SGL16,Temp,20.6
SGL16,LOI,41.31059983566205
SGL16,SandGrains,4
SGL17,Latitude,46.90371
SGL17,Longitude,-55.64455
SGL17,Depth,1
SGL17,Area,1.5
SGL17,DistanceToTheSea,1858.8
SGL17,N,0.8
SGL17,P,0.019
SGL17,SiO2,2.7
SGL17,DOC,21
SGL17,ODO,92.1
SGL17,pH,7.06
SGL17,Cond,77.2
SGL17,Sal,0.04
SGL17,Temp,21.72
SGL17,LOI,37.49722160480137
SGL17,SandGrains,1
TL18,Latitude,46.87505
TL18,Longitude,-55.84478
TL18,Depth,2.9
TL18,Area,21.5
TL18,DistanceToTheSea,24.37
TL18,N,0.6
TL18,P,0.012
TL18,SiO2,0.2
TL18,DOC,7
TL18,ODO,101.5
TL18,pH,7.44
TL18,Cond,1272.3
TL18,Sal,0.7
TL18,Temp,20.5
TL18,LOI,63.12625250501034
TL18,SandGrains,0
TL101,Latitude,46.87207
TL101,Longitude,-55.84065
TL101,Depth,0.8
TL101,Area,1.4
TL101,DistanceToTheSea,21.69
TL101,N,1.5
TL101,P,0.038
TL101,SiO2,0.9
TL101,DOC,30
TL101,ODO,86.8
TL101,pH,7.01
TL101,Cond,338.4
TL101,Sal,0.18
TL101,Temp,20.94
TL101,LOI,74.80225988700444
TL101,SandGrains,7
SGL21,Latitude,46.8798
SGL21,Longitude,-55.73588
SGL21,Depth,1
SGL21,Area,16.4
SGL21,DistanceToTheSea,576.26
SGL21,N,0.8
SGL21,P,0.016
SGL21,SiO2,1.6
SGL21,DOC,19
SGL21,ODO,98.9
SGL21,pH,7.25
SGL21,Cond,76.3
SGL21,Sal,0.04
SGL21,Temp,21.16
SGL21,LOI,28.0532598714415
SGL21,SandGrains,0
TAYLORSPOND,Latitude,46.88018
TAYLORSPOND,Longitude,-55.71703
TAYLORSPOND,Depth,0.8
TAYLORSPOND,Area,2.9
TAYLORSPOND,DistanceToTheSea,34.44
TAYLORSPOND,N,0.5
TAYLORSPOND,P,0.008
TAYLORSPOND,SiO2,0.9
TAYLORSPOND,DOC,10
TAYLORSPOND,ODO,101.8
TAYLORSPOND,pH,7.07
TAYLORSPOND,Cond,67
TAYLORSPOND,Sal,0.03
TAYLORSPOND,Temp,21.3
TAYLORSPOND,LOI,50.0376222723865
TAYLORSPOND,SandGrains,81
