LakeID,Latitude,Longitude,Depth,Area,DistanceToTheSea,N,P,SiO2,DOC,ODO,pH,Cond,Sal,Temp,LOI,SandGrains
SGL24,46.8715,-55.76997,0.4,0.8,120.3,1.2,0.032,2,25,90.7,6.54,72.5,0.04,20.94,57.789613848202244,0
TL09,46.86777,-55.75629,1.6,1.7,68.42,1,0.021,1.8,18,95.5,6.9,98,0.05,20.16,54.203216374268976,3
TL08,46.87464,-55.75319,2.4,12.9,103.48,1,0.028,2,24,94.7,7.03,84.1,0.04,22.27,42.56354786371066,44
SGL23,46.875,-55.75262,0.6,1.1,886.46,1.1,0.03,3,34,93.5,7.06,88,0.05,22.7,45.77507598784208,2
SGL13,46.9319,-55.57567,1,1.7,1171.92,0.8,0.012,1.2,18,92.4,7.02,49.7,0.02,19.61,31.930808789153474,0
SGL14,46.92781,-55.59823,0.5,0.1,1644.15,0.7,0.012,0.4,11,92.4,4.83,39,0.02,19.72,86.44304682040682,0
SGL15,46.91887,-55.61216,2.8,6.9,1446.32,0.6,0.009,0.9,11,95.7,7.01,49.6,0.02,19.5,31.732659365346876,0
SGL16,46.91331,-55.62914,1.1,0.4,1897.25,0.8,0.01,2,15,86.9,7.26,103,0.05,20.6,41.31059983566205,4
SGL17,46.90371,-55.64455,1,1.5,1858.8,0.8,0.019,2.7,21,92.1,7.06,77.2,0.04,21.72,37.49722160480137,1
TL18,46.87505,-55.84478,2.9,21.5,24.37,0.6,0.012,0.2,7,101.5,7.44,1272.3,0.7,20.5,63.12625250501034,0
TL101,46.87207,-55.84065,0.8,1.4,21.69,1.5,0.038,0.9,30,86.8,7.01,338.4,0.18,20.94,74.80225988700444,7
SGL21,46.8798,-55.73588,1,16.4,576.26,0.8,0.016,1.6,19,98.9,7.25,76.3,0.04,21.16,28.0532598714415,0
TAYLORSPOND,46.88018,-55.71703,0.8,2.9,34.44,0.5,0.008,0.9,10,101.8,7.07,67,0.03,21.3,50.0376222723865,81
SGL22,46.87828,-55.7461,2.5,16,965.99,0.6,0.009,1.4,12,98.2,7.16,85,0.04,20.83,42.15328467153263,3
SGL102,47.06905,-55.1275,4.8,10.5,1242.5,0.4,0.005,0.6,4,98.3,7.67,98.3,0.05,20.5,26.928702010969133,4
SGL103,47.05294,-55.15477,3,2.7,380.81,0.6,0.011,0.4,9,97.1,7.24,68.6,0.03,20.4,38.01862828111811,2
SGL104,46.92112,-55.57198,0.1,1.4,37.5,0.5,0.023,0.1,3,156,8.52,34620,23.66,21.3,2.8517397881997675,12049
SGL105,46.89996,-55.61874,0.1,1.3,210.78,1,0.111,2.5,16,205.5,7.61,5713.5,3.19,23.5,2.9401102088166775,41080
SGL08,47.10192,-55.7672,0.6,4,30.24,0.9,0.051,5,27,83.8,6.57,232.5,0.12,19.5,52.04307012700179,27
SGL106,47.09792,-55.73861,0.5,0.1,14.39,0.7,0.013,3.9,19,94.1,6.83,278,0.15,19,30.112359550561635,1241
SGL107,47.09302,-55.69913,1,2.1,19.89,0.8,0.022,3,28,90.1,6.35,69.9,0.04,20.22,67.7394238255901,0
SGL108,47.09128,-55.69385,0.5,0.3,12.05,0.8,0.021,4,27,95.7,6.87,2240.9,1.27,20.3,13.016290933026202,123
