Cocconeis scutelum,Navicula hanseatica,Navicula meniscus,Halamphora coffeiformis,Navicula peregrina,Halamphora acutiscula,Amphora ovalis,Staurosirella martyi,Navicula gregaria,Planothidium delicathulum,Stephanocyclus meneghinianus,Stephanodiscus hantzschii,Ctenophora pulchella,Navicula radiosa,Nitzschia inconspicua,Sellaphora bacillum,Placoneis clementis,Cymbopleura naviculiformis,Diatoma moniliformis,Luticolopsis vietnamica,Synedra famelica,Amphipleura pellucida,Pseudostaurosira elliptica,Pseudofallacia tenera,Diatoma tenuis,Pseudostaurosira brevistriata,Brachysira styriaca,Achnanthidium lineare,Nitzschia palea,Encyonopsis microcephala,Navicula cryptotenella,Staurosira construens,Pinnularia borealis,Fragilaria gracilis,Encyonema minutum,Sellaphora laevissima,Encyonema silesiacum,Halamphora bicapitata,Pinnularia viridiformis,Lindavia radiosa,Adlafia minuscula,Stauroforma exiguiformis,Achnanthidium minutissimum,Platessa oblongella,Tabellaria flocculosa,Brachysira vitrea,Achnanthidium petersenii,Eunotia bilunaris,Frustulia saxonica,Tabellaria ventricosa,Brachysira seriens,Eunotia implicata,Eunotia rhomboidea,Brachysira procea,Encyonema neogracile,Eunotia nymanniana,Frustulia vulgaris,Fragilaria radians,Eunotia tenella,Frustulia erifuga,Encyonopsis cesatii,Rossithidium pusillum,Eunotia vanheurckii,Cocconeis placentula,Aulacoseira cf. ambigua,Staurosirella pinnata,Fragilaria tenera var. nanana,Pinnularia microstauron,Pinnularia krammeri,Tabellaria fenestrata,Gomphonema drutelingense,Stauroneis gracilis,Navicula cf. cryptocephala,Hippodonta hungarica,Iconella amphioxys,Pinnularia biceps,Nitzschia hantzschiana,Species_richness,Inverse_Simpson,LakeID
0,0.25,0,0,1.7500000000000002,0,0,0,0,0.25,0.25,1.25,0.25,0,0,0,0.5,0,0.25,0.25,0,0,17.5,0,0.25,4.5,1,1.5,5.25,0,0,0,1,6.5,0,0,0.5,0,0,7.5,0,23.5,3.25,7.75,0,0.25,4.25,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0.5,0,0,0.75,0.25,0,0,0,0.25,0,0,0.5,0,0,0,0.5,0.5,0,0.25,12.5,2.500740960284525,TL08
0,0.5,1.25,0,1.5,0,0,1,0,0,0.25,0,0.75,0,0.25,0.75,0.25,0.25,0.25,0,0,0,13.25,2,1.7500000000000002,3.25,2.75,0.25,4,0,0,0,0,0.75,0,0,1,0,0,0.5,0,12.5,17,4.25,3.25,0,3.25,1.25,0,0,3.5000000000000004,0.25,0.25,0,1,0.25,0.5,2,0.25,0,0,1.25,0,0,0,0,1.25,0,0,1.5,0,0,0,0,0,0,0,13,3.4755035383778,TL09
0,2.75,1.7500000000000002,0,1.25,0.5,0,0,0,0,0.75,0,1.25,0,0,0,0.5,0,1.25,0,0,0,27.500000000000004,0.25,0,2.25,0.5,0.75,1,0,0,0,1.25,0.25,0,0,0,0,0,0,0,32.5,4,6.75,0,0,2.25,0,0,0,1.7500000000000002,0,0,0,0,0,0.25,0.75,0,0,0,0,0,1.7500000000000002,0,0,0,0,0,0,0,0,0,1.7500000000000002,0,0,0,8.5,1.4792046239869325,TL18
0,4,0.25,1,0.75,0.5,0,0,0,0.5,3,0,7.5,0,0,0.25,0.5,0,3,0,0,0,20,0.25,0,0.25,0,1.5,0.25,0,0,0,2,0,0,0,0.25,8.75,0,0,0,2,2.75,7.5,1,0,1,0.25,0.25,0,0.25,0,0,0,0,0,0,10.5,0,0,0,0,0,1.25,15,0,0,0,0,0,0,0,0,0.75,0,0,0,10.25,2.789938027199175,TL27
0,0.5,0,0,0,0.25,0,1.5,0,0,0.25,0,0.75,0,4,1,0,0,5,0,0,0,13.5,0,0.5,3.25,2.25,12.25,3.75,0,0,0,0,0,0,0,0,0,0,0,0,8,7.000000000000001,19,0.25,0,8,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2.84812076401725,TL101
0,0,0,0.25,0,2.25,0,0,0.25,0,5,0,0,1.7500000000000002,3.5000000000000004,0.5,1,3,0,0.25,0,0,0.75,0,0,3.75,0.5,2,2.75,0,0,0,0,0.25,0,0,0.25,0.25,0,11.5,0,3.5000000000000004,12.25,1,0.75,3.5000000000000004,1.7500000000000002,3,1.5,0,6.5,1.5,0.75,0,0.25,2.25,6.5,0,0.25,0.25,0,2,0.25,0,0,0,0,3,1,0.25,0.25,0,0,0,0,0,0,14.249999999999998,4.527204543483925,SGL15
0,1.25,0.25,0,0,0,0,2,0.25,0,5.25,3,0,4.75,1.7500000000000002,3,0.75,0,0,0.75,0,0,6.5,0.5,0,8.75,0.5,0.25,1.25,0,0,0,0,0,0,0,0.5,0,0,3.5000000000000004,0,1.5,27.500000000000004,0.75,1.25,0.25,4.75,0.25,0,0,1.5,1.25,0,0,0.25,0,1.25,0.5,0.25,0,0.25,2.5,0,0.75,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,13.25,2.68275113737385,SGL102
0,0.25,0,0,0,1.5,0.25,0,0,0,1.25,0,0,1,5.5,1.5,0.25,5.5,0,0,0,0,1.7500000000000002,1.25,0.25,4.25,3.25,0,2,0,3.75,0,0,0,0,0,0.25,0,0,6,0,3.25,20.5,1.7500000000000002,0.25,1,1.7500000000000002,0.75,2,0.25,1.5,1.7500000000000002,1.5,0,0,3,5.5,0.25,1.7500000000000002,1.5,0,0.75,1.5,0,0,0,0,0.5,1.7500000000000002,0,0,0,0,0,0,0,0,12.75,3.851999848496325,SGL103
0,0.25,0,0,0,2.75,0,8.75,0,12.5,0,0,0,0,2,1.7500000000000002,3.5000000000000004,0,0,0,0,0,26.75,0,0,15.5,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0.75,7.000000000000001,3,0,0,1.7500000000000002,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2.0498038857976826,SGL104
0,1.5,0,0,0,3.25,0,10.5,0.25,6,1.25,0,5,0,2.75,0,0,0,1.25,0,0,0,40.5,1.25,0.25,1.7500000000000002,0,0,0.25,0,0.75,0,2.25,0,0,0,0,1,0,0,0,3.75,2.25,0.75,0.25,0,1.25,0,0,0,0,0,0,0,0,0,0,4,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,8.5,1.4972655007949125,SGL105
